facility_id,facility_name,street_address,city,state_code,zip_code,county,facility_type,provider_type,ownership_type,ownership_group,fiscal_year,source_fy_end_date,total_revenue,medicare_revenue,medicaid_revenue,other_revenue,medicare_method,total_days,medicare_days,medicaid_days,chain_name,chain_confidence,federal_medicaid_share,federal_medicaid_revenue,state_medicaid_revenue,medicare_dependency,medicaid_dependency,public_dependency
440016,BAPTIST MEM HOSPITAL HUNTINGDON,631 E. B. WILSON DRIVE,HUNTINGDON,TN,38344,CARROLL,STH,1,Government Federal,government,2023,2023-09-30,27395127.0,12300772.49,1893219.0,13201135.51,anchor_plus_days_share,3040.0,1365.0,9.0,Unmapped / Independent,low,0.6416,1214689.31,678529.69,0.44901315807004655,0.06910787455009791,0.5181210326201444
440020,SO TENN REG MED CTR OF PULASKI,1265 EAST COLLEGE,PULASKI,TN,38478,GILES,STH,1,Government City,government,2023,2023-12-31,42890579.0,9392314.89,3134724.0,30363540.11,anchor_plus_days_share,5763.0,1262.0,1153.0,Unmapped / Independent,low,0.6416,2011238.92,1123485.08,0.2189831685415112,0.07308653958716668,0.2920697081286779
440033,LAFOLLETTE MEDICAL CENTER,923 E. CENTRAL AVENUE,LAFOLLETTE,TN,37766,CAMPBELL,STH,1,Government City,government,2023,2023-09-30,45432751.0,9265434.18,2698840.0,33468476.82,anchor_plus_days_share,7213.0,1471.0,0.0,Unmapped / Independent,low,0.6416,1731575.74,967264.26,0.20393733542571524,0.059402962413612155,0.2633402978393274
440034,METHODIST MEDICAL CENTER,990 OAK RIDGE TURNPIKE,OAK RIDGE,TN,37830-6976,ANDERSON,STH,1,Government State,government,2023,2023-12-31,158786597.0,32440774.61,12689402.0,113656420.39,anchor_plus_days_share,37405.0,7642.0,0.0,Unmapped / Independent,low,0.6416,8141520.32,4547881.68,0.20430423740361411,0.07991481799940583,0.28421905540301995
440035,TENNOVA HEALTHCARE CLARKSVILLE,651 DUNLOP LANE,CLARKSVILLE,TN,37040,MONTGOMERY,STH,1,Nonprofit Corporation,not_for_profit,2023,2023-09-30,204344795.0,57319781.05,17395266.0,129629747.95,anchor_plus_days_share,36420.0,10216.0,1838.0,HCA Healthcare,keyword,0.6416,11160802.67,6234463.33,0.28050521693004216,0.08512703247469552,0.3656322494047377
440048,BAPTIST MEM HOSPITAL MEMPHIS,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,SHELBY,STH,1,Government Federal,government,2023,2023-09-30,876280001.0,297328437.19,56081912.0,522869651.81,anchor_plus_days_share,181390.0,61547.0,10756.0,Unmapped / Independent,low,0.6416,35982154.74,20099757.26,0.33930756932794587,0.063999990797462,0.4033075601254079
440049,METHODIST H/C MEMPHIS HOSPT.,1265 UNION AVENUE,MEMPHIS,TN,38104,SHELBY,STH,1,Government Federal,government,2023,2023-12-31,1651008371.0,286087752.14,255773922.0,1109146696.86,anchor_plus_days_share,243576.0,42207.0,22283.0,Unmapped / Independent,low,0.6416,164104548.36,91669373.64,0.1732806187813084,0.15491982142106292,0.3282004402023713
440056,JEFFERSON MEMORIAL HOSPITAL,110 HOSPITAL DRIVE,JEFFERSON CITY,TN,37760,JEFFERSON,STH,1,Government City,government,2023,2023-09-30,55436407.0,16473655.7,4235358.0,34727393.3,anchor_plus_days_share,5640.0,1676.0,0.0,Unmapped / Independent,low,0.6416,2717405.69,1517952.31,0.29716312061854944,0.07640029773213837,0.37356341835068785
440058,SOUTHERN TENNESSEE MEDICAL CENTER,185 HOSPITAL ROAD,WINCHESTER,TN,37398,FRANKLIN,STH,1,Government City,government,2023,2023-12-31,128875451.0,33184001.91,7273860.0,88417589.09,anchor_plus_days_share,7678.0,1977.0,1139.0,Unmapped / Independent,low,0.6416,4666908.58,2606951.42,0.25748892944708296,0.05644100519966366,0.3139299346467466
440068,ATHENS REGIONAL MEDICAL CENTER,1114 MADISON AVENUE,ATHENS,TN,37303,,STH,1,Government City,government,2023,2023-09-30,115320790.0,32484214.93,7516363.0,75320212.07,anchor_plus_days_share,6312.0,1778.0,1029.0,Unmapped / Independent,low,0.6416,4822498.5,2693864.5,0.28168567809845907,0.06517786602051547,0.3468635441189746
440081,LECONTE MEDICAL CENTER,742 MIDDLE CREEK ROAD,SEVIERVILLE,TN,37862-5019,SEVIER,STH,1,Government State,government,2023,2023-12-31,137175450.0,26543068.83,11812335.0,98820046.17,anchor_plus_days_share,12610.0,2440.0,0.0,Unmapped / Independent,low,0.6416,7578794.14,4233540.86,0.1934972243940151,0.08611114452330938,0.2796083689173245
440110,FORT LOUDOUN MEDICAL CENTER,550 FORT LOUDOUN MEDICAL CENTER DR,LENOIR CITY,TN,37772-1965,LOUDON,STH,1,Government State,government,2023,2023-12-31,43820624.0,12508679.22,2899172.0,28412772.78,anchor_plus_days_share,8166.0,2331.0,0.0,Unmapped / Independent,low,0.6416,1860108.76,1039063.24,0.28545187352877494,0.06615998895862368,0.3516118624873986
440120,TENNOVA HEALTHCARE - TURKEY CREEK MC,900 OAK HILL AVENUE,KNOXVILLE,TN,37917-,KNOX,STH,1,Government City,government,2023,2023-09-30,323805628.0,74135338.48,14696296.0,234973993.52,anchor_plus_days_share,53492.0,12247.0,618.0,HCA Healthcare,keyword,0.6416,9429143.51,5267152.49,0.22895012337463141,0.04538616604897306,0.2743362894236045
440125,FORT SANDERS REGIONAL MEDICAL CENTER,1901 CLINCH AVE,KNOXVILLE,TN,37916-2307,KNOX,STH,1,Government State,government,2023,2023-12-31,376295614.0,65582983.15,33461632.0,277250998.85,anchor_plus_days_share,64618.0,11262.0,0.0,Unmapped / Independent,low,0.6416,21468983.09,11992648.91,0.17428580273061592,0.0889237895820917,0.26320959231270763
