fiscal_year,chain_name,medicaid_total,medicare_total,federal_medicaid_total,state_medicaid_total,private_total,private_carrier_administered_total,uninsured_other_total,total_revenue,facility_count,state_count,public_total,comprehensive_total,public_dependency,private_dependency,private_carrier_administered_dependency,comprehensive_dependency
2020,KING COUNTY PUBLIC HOSPITAL DISTRICT NO 2,24519848.0,233855547.4,12259924.0,12259924.0,373182389.99,520192827.06,32450642.61,664008428.0,1,1,258375395.4,631557785.39,0.38911463244258704,0.562014538149808,0.7834129886375478,0.9511291705923949
2017,"AHS EAST TEXAS HEALTH SYSTEM, LLC",45108620.0,213224134.38,26988487.35,18120132.65,191309351.48,342414090.4,74398081.14,524040187.0,8,1,258332754.38,449642105.86,0.4929636329207706,0.36506618428483234,0.6534118926264714,0.858029817205603
2016,LOUISIANA CHILDREN'S MEDICAL CENTER,82588077.0,175649156.97,56019492.63,26568584.37,543394114.85,701942208.94,163543675.18,965175024.0,3,1,258237233.97,801631348.82,0.2675548243051097,0.5630005971331475,0.7272693464765827,0.8305554214382572
2019,CONFLUENCE HEALTH,38539091.0,219679059.03,19269545.5,19269545.5,130040432.62,279768233.34,50571279.35,438829862.0,1,1,258218150.03,388258582.65,0.5884242901181598,0.29633451111857106,0.6375323503850336,0.8847588012367308
2014,MISSOURI BAPTIST MEDICAL CENTER,18739553.0,238983149.69,12075767.95,6663785.049999999,187451219.02,332946616.1,72897696.29,518071618.0,2,1,257722702.69,445173921.71000004,0.49746539616458973,0.36182491475531864,0.6426652310839387,0.8592903109199085
2017,"LIFESPAN OF MASSACHUSETTS, INC.",61187747.0,196498188.04000002,30593873.5,30593873.5,89133335.25,243098148.92000002,34662963.71,381482234.0,2,1,257685935.04000002,346819270.29,0.6754860700537892,0.23365002955812617,0.6372463177931375,0.9091360996119154
2020,"BON SECOURS CHARITY HEALTH SYSTEM, INC.",95523271.0,162136234.73000002,47761635.5,47761635.5,118880550.20000002,279697932.55,46231325.07,422771381.0,3,1,257659505.73000002,376540055.93000007,0.6094535186382448,0.2811934665937097,0.6615819923487205,0.8906469852319546
2020,MISSOURI BAPTIST MEDICAL CENTER,23265682.0,234237021.57,14992405.48,8273276.52,298984480.87,445264104.22999996,116271742.55999999,672758927.0,2,1,257502703.57,556487184.44,0.3827562790110699,0.44441547911262425,0.6618479314953779,0.8271717581236943
2020,BEXAR COUNTY HOSPITAL DISTRICT,144430091.0,113039581.04,86412523.45,58017567.55,440443443.12,610937780.94,38299429.84,736212545.0,1,1,257469672.04000002,697913115.1600001,0.34972192988099654,0.5982558245051366,0.829838862552933,0.9479777543861333
2022,SARAH BUSH LINCOLN HEALTH SYSTEM,36774477.0,220358902.68,19056533.98,17717943.02,165205145.75,313983399.97,64246445.57,486584971.0,2,1,257133379.68,422338525.43,0.5284449685150674,0.3395196226683294,0.6452796914888685,0.8679645911833969
2014,ST PETERS HEALTH PARTNERS,54964843.0,201974850.38,27482421.5,27482421.5,231615932.12,383925732.08,90072862.5,578628488.0,2,1,256939693.38,488555625.5,0.44404950448965796,0.40028435675638563,0.6635099032317261,0.8443338612460436
2014,"VALLEY HEALTH SYSTEM, LLC",65854891.0,191082786.41,39381224.82,26473666.18,343844234.34999996,498330935.12,133717202.24,734499114.0,5,1,256937677.41,600781911.76,0.3498134613270616,0.46813430785159527,0.6784636300051412,0.8179477691786569
2016,"HEALTH SERVICES NETWORK TEXAS , INC",78674157.0,178196688.79,47070748.13,31603408.869999997,328922084.31,485935880.9,127914143.9,713707074.0,3,1,256870845.79,585792930.1,0.35991074650606586,0.4608642625139512,0.6808617969506072,0.8207750090200171
2018,"COMMONWEALTH HEALTH CORPORATION, INC.",64290755.0,192530502.03,45910028.14,18380726.86,166324992.36,320434834.72999996,18368379.61,441514629.0,6,1,256821257.03,423146249.39,0.5816823275180765,0.3767145671633001,0.725762667152757,0.9583968946813765
2023,WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER,91564476.0,164936607.54999998,59168964.379999995,32395511.619999997,465471111.75,624859602.9000001,156417886.7,878390082.0,4,1,256501083.54999998,721972195.3,0.29201272738186496,0.5299138973543192,0.7113691464699394,0.821926624736184
2022,"TENET FLORIDA, INC.",28012632.0,228466509.3,16028828.030000001,11983803.969999999,303005232.5,449671286.61,117835368.2,677319742.0,2,1,256479141.3,559484373.8,0.3786677478832442,0.44735922151815855,0.663898095280973,0.8260269694014026
2022,SSM REGIONAL HEALTH SERVICES,44699128.0,211748341.16,25211146.53,19487981.47,155267857.32999998,305253790.97,60381944.51,472097271.0,3,2,256447469.16,411715326.49,0.5432089633070554,0.32888954642993473,0.6465908822633292,0.8720985097369902
2020,EMANATE HEALTH,133163564.0,123257417.11,66581782.0,66581782.0,217907055.28,385571307.69,84741632.61,559069669.0,2,1,256420981.11,474328036.39,0.45865657775471275,0.3897672640151759,0.6896659380210447,0.8484238417698886
2018,BEXAR COUNTY HOSPITAL DISTRICT,148025002.0,108391973.49,88563358.7,59461643.3,373776907.71,544411244.63,32502339.8,662696223.0,1,1,256416975.49,630193883.2,0.38692988822119784,0.5640245028377051,0.821509502748441,0.9509543910589031
2023,SILVER CROSS HEALTH SYSTEM,61912515.0,194409755.35,32083065.27,29829449.73,185605600.79,338965352.48,72179955.86,514107827.0,1,1,256322270.35,441927871.14,0.4985768682918729,0.3610246548337417,0.6593273525088736,0.8596015231256147
2019,MISSION HOSPITAL REGIONAL MEDICAL CENTER,50420569.0,205874700.06,25210284.5,25210284.5,281871410.36,432917922.14,109616659.58,647783339.0,1,1,256295269.06,538166679.4200001,0.39564967733756423,0.4351322323218937,0.6683066637809899,0.8307819096594581
2017,"HEALTH SERVICES NETWORK TEXAS , INC",82974940.0,173172417.81,49643906.61,33331033.39,349421580.86,506897615.65,135886170.33,741455109.0,4,1,256147357.81,605568938.6700001,0.3454657668425345,0.471264647877691,0.6836524686351577,0.8167304147202256
2017,"BON SECOURS ST. FRANCIS HEALTH SYSTEM, INC.",32343758.0,223771361.42,22488614.94,9855143.06,242525827.86,389857895.14,94315599.72,592956547.0,1,1,256115119.42,498640947.28,0.4319289848738275,0.4090111308948917,0.6574813906894934,0.8409401157687192
2022,AKRON GENERAL HEALTH SYSTEM,87779920.0,168229276.9,56925278.12,30854641.88,372808791.43,531169833.72,144981196.67,773799185.0,1,1,256009196.9,628817988.33,0.33084707487770226,0.48179010608546974,0.6864440335640829,0.8126371809631721
2022,STATE OF NEW YORK COMPTROLLERS OFFICE,165746906.0,90262070.07,82873453.0,82873453.0,146542522.86,320496840.89,12742828.069999998,415294327.0,2,1,256008976.07,402551498.93,0.616451897909022,0.3528642539342947,0.7717342136725118,0.9693161518433167
2018,Kindred / ScionHealth,0.0,255883276.53,0.0,0.0,151763946.07,292499748.15,59019312.4,466666535.0,18,9,255883276.53,407647222.6,0.5483214615549838,0.3252085476195545,0.6267853514501527,0.8735300091745384
2019,ST JOSEPH HOSPITAL OF ORANGE,72819439.0,183046968.99,36409719.5,36409719.5,365825337.85,521115750.04,142265409.16,763957155.0,1,1,255866407.99,621691745.84,0.33492245777840773,0.47885583040321156,0.682126931634013,0.8137782881816193
2018,WELLMONT HEALTH SYSTEM,46995443.0,208778573.18,29300599.93,17694843.07,332556314.98,482631112.48,129327455.84,717657787.0,6,2,255774016.18,588330331.1600001,0.35640108811360255,0.4633912165437146,0.6725087098929508,0.8197923046573172
2019,DIOCESASAN HEALTH MINISTRIES,0.0,255679726.21,0.0,0.0,179358737.61,319982587.02,69750620.18,504789084.0,3,1,255679726.21,435038463.82000005,0.506508033382909,0.35531421596668283,0.633893634316387,0.8618222493495918
2018,AULTMAN HEALTH FOUNDATION,52415249.0,203164128.82000002,33991288.98,18423960.02,253641607.32999998,404693314.91999996,98638402.85,607859388.0,3,1,255579377.82000002,509220985.15,0.4204580580073233,0.4172701982353853,0.6657679767874211,0.8377282562427085
2021,"HEALTH SERVICES NETWORK TEXAS , INC",104547308.0,151021870.08,62550654.370000005,41996653.629999995,517110736.98,678583246.53,201098619.94,973778535.0,4,1,255569178.08,772679915.0600001,0.2624510285390507,0.5310352594494189,0.6968558272133201,0.7934862879884697
2023,"BON SECOURS CHARITY HEALTH SYSTEM, INC.",54688930.0,200851608.72,27344465.0,27344465.0,200265102.92000002,351750185.21999997,77880873.36,533686515.0,3,1,255540538.72,455805641.64,0.47882142706940983,0.3752485725070269,0.659095134191277,0.8540699995764367
2016,REID HOSPITAL & HEALTH CARE SERVICES INC,12898869.0,242461439.01,8350727.79,4548141.21,97214657.03,240242600.24,37805699.96,390380665.0,1,1,255360308.01,352574965.03999996,0.6541315462178435,0.24902528671598015,0.6154059915851622,0.9031568329338237
2014,LAFAYETTE GENERAL HEALTH SYSTEM INC,42423057.0,212765856.82,28775559.580000002,13647497.42,170907222.73,319745736.74,65588779.45,491684916.0,6,1,255188913.82,426096136.54999995,0.5190090350870149,0.34759500885319,0.6503061744119073,0.8666040439402048
2019,TRIHEALTH INC,48917799.0,206194794.95,31723192.65,17194606.35,336944113.96,487039600.43,131033822.09,723090530.0,2,1,255112593.95,592056707.91,0.3528086503221111,0.46597777177361177,0.6735527298774056,0.8187864220957228
2015,"COMMONWEALTH HEALTH CORPORATION, INC.",56760590.0,198278288.88,40532737.32,16227852.68,130070220.08999999,281693721.47999996,14425935.03,399535034.0,6,1,255038878.88,385109098.96999997,0.6383392122754371,0.32555397905356154,0.7050538688930091,0.9638931913289986
2019,PHOEBE PUTNEY HEALTH SYSTEMS INC,71771630.0,182928880.89,47656362.32,24115267.68,301209697.51,455649304.5,117137104.60000001,673047313.0,3,1,254700510.89,555910208.4,0.37842883549258,0.4475312384316732,0.6769944633892327,0.8259600739242532
2023,SSM REGIONAL HEALTH SERVICES,48587503.0,206069490.6,27409007.77,21178495.23,167011216.13,316790063.21,64948806.269999996,486617016.0,3,2,254656993.6,421668209.73,0.523321185299447,0.3432087465885081,0.651004902816633,0.8665299318879552
2023,AKRON GENERAL HEALTH SYSTEM,84833396.0,169716355.67,55014457.31,29818938.69,413023270.56,569992313.18,160620160.77,828193183.0,1,1,254549751.67,667573022.23,0.30735552633738594,0.49870402103998,0.6882359392470391,0.806059547377366
2023,"ROYAL BLUE HEALTH, LLC",96431386.0,158056393.99,68363649.09,28067736.91,256893644.89000002,416148201.08,99903084.12,611284509.0,2,2,254487779.99,511381424.88,0.4163164226201584,0.4202521757180665,0.6807766186661209,0.8365685983382248
2023,"COMMUNITY HEALTH NETWORK, INC.",108488980.0,145731358.01,70235765.65,38253214.35,235906034.39,397425016.3,91741235.6,581867608.0,1,1,254220338.01,490126372.4,0.43690409040607736,0.40542905490281217,0.6830162236836528,0.8423331453088896
2016,"BON SECOURS ST. FRANCIS HEALTH SYSTEM, INC.",32819848.0,221302902.59,22819640.31,10000207.69,239497573.98,385829056.4,93137945.43,586758270.0,1,1,254122750.59,493620324.57,0.43309615489526887,0.4081707684835869,0.6575604914780323,0.8412669233788558
2019,ST PETERS HEALTH PARTNERS,54873582.0,199233649.45000002,27436791.0,27436791.0,285213443.43,435947137.13,110916339.12,650237014.0,2,1,254107231.45000002,539320674.88,0.3907917051458409,0.43862997228576717,0.6704434348457438,0.829421677431608
2017,ST CHARLES HEALTH SYSTEM INC,26202797.0,227129665.53,15132115.26,11070681.74,210514651.54,355088065.33000004,81866808.92999999,545713923.0,3,1,253332462.53,463847114.07,0.464222098526154,0.3857600890641011,0.6506853689529194,0.849982187590255
2020,"BLESSING CORPORATE SERVICES, INC.",29165202.0,224084588.41,15113407.68,14051794.32,149657830.26999998,294778255.40000004,58200267.32,461107888.0,2,1,253249790.41,402907620.67999995,0.5492202519207392,0.3245614186283449,0.639282612749405,0.8737816705490841
2014,MORTON PLANT HOSPITAL ASSOCIATION INC,45725906.0,207451900.04000002,26164363.41,19561542.59,252837618.45000002,401230592.97,98325740.51,604341165.0,2,1,253177806.04000002,506015424.49,0.41893192240181093,0.41836901586871056,0.6639140541915592,0.8373009382705214
2021,THOMAS JEFFERSON UNIVERSITY,55191880.0,197935328.54000002,30940567.93,24251312.07,203539583.13,353797923.82,79154282.33000001,535821074.0,3,1,253127208.54000002,456666791.67,0.47240995328974317,0.37986483362914536,0.660291169921398,0.8522747869188886
2015,BON SECOURS HAMPTON ROADS HEALTH SYSTEM INC,37150849.0,215959849.68,18720312.81,18430536.19,198745556.63,345386610.7,77289938.69,529146194.0,3,1,253110698.68,451856255.31,0.4783379367555273,0.3755966855352644,0.6527243597636081,0.8539346222907918
2020,MISSION HOSPITAL REGIONAL MEDICAL CENTER,42311103.0,210674996.94,21155551.5,21155551.5,335821338.76,483425914.33,130597187.3,719404626.0,1,1,252986099.94,588807438.7,0.3516603741438827,0.4668045306119563,0.6719805473283126,0.8184649047558391
2016,"COMMONWEALTH HEALTH CORPORATION, INC.",55620016.0,197167542.84,39718253.43,15901762.57,125443023.11,275600183.67,14922670.049999999,393153252.0,6,1,252787558.84,378230581.95,0.6429746099111499,0.3190690207237558,0.7009993743355836,0.9620436306349057
2014,EMANATE HEALTH,119633999.0,132989165.62,59816999.5,59816999.5,163873101.87,326742642.21000004,63728428.510000005,480224695.0,2,1,252623164.62,416496266.49,0.5260520070089274,0.3412425549460758,0.6803953349587739,0.8672945619550032
2021,AULTMAN HEALTH FOUNDATION,100890873.0,151618290.60999998,65427731.14,35463141.86,355080845.79999995,514139060.38,138086995.59,745677005.0,3,1,252509163.60999998,607590009.41,0.3386307501999475,0.47618585985496487,0.6894929801140911,0.8148166100549123
2015,"ST. VINCENT'S HEALTH SYSTEM, INC.",24272509.0,228035249.16000003,13888729.65,10383779.35,210982975.81,354606744.59000003,82048935.03,545339669.0,2,1,252307758.16000003,463290733.97,0.46266166300108275,0.38688360264875576,0.6502493120301506,0.8495452656498386
2021,LOUISIANA CHILDREN'S MEDICAL CENTER,69193664.0,183070176.75,46934062.29,22259601.71,731395727.24,883979572.46,216932379.01,1200591947.0,3,1,252263840.75,983659567.99,0.2101162192369761,0.6091959296142105,0.7362864415914661,0.8193121488511866
2020,THOMAS JEFFERSON UNIVERSITY,46204499.0,206037151.07999998,25902242.14,20302256.86,179949499.14,327923306.48,69980360.78,502171510.0,3,1,252241650.07999998,432191149.21999997,0.5023017934251188,0.35834270872913515,0.6530105749726822,0.8606445021542539
2014,BON SECOURS HAMPTON ROADS HEALTH SYSTEM INC,39270681.0,212799085.34,19788496.16,19482184.84,199395247.43,345887755.11,77542596.23,529007610.0,3,1,252069766.34,451465013.77,0.476495539147348,0.3769232118040797,0.6538426831137647,0.8534187509514277
2022,BRF HOSPITAL HOLDINGS LLC,184205883.0,67822413.27,124946850.45,59259032.55,230254627.49,405711367.04,89543466.24000001,571826390.0,3,1,252028296.26999998,482282923.76,0.44074268113089354,0.4026652695934513,0.709500950174755,0.8434079507243448
2014,GOOD SAMARITAN HOSPITAL LLC,28629188.0,223011252.24,14314594.0,14314594.0,230010871.51,374138951.24,89448672.25,571099984.0,1,1,251640440.24,481651311.75,0.4406241416389184,0.4027506180248816,0.6551198769425985,0.8433747596637999
2021,ST JOSEPH HOSPITAL OF ORANGE,82991096.0,168556377.08,41495548.0,41495548.0,390846105.3,545795434.69,151995707.62,794389286.0,1,1,251547473.08,642393578.38,0.3166551683326706,0.492008278797456,0.6870629354006671,0.8086634471301266
2015,LOUISIANA CHILDREN'S MEDICAL CENTER,79658411.0,171873516.67,54032300.18,25626110.82,436607537.28999996,590881779.71,123573049.03999999,811712514.0,3,1,251531927.67,688139464.9599999,0.3098780951774263,0.5378844477073074,0.7279446472966413,0.8477625428847336
2016,TRIHEALTH INC,42008738.0,209493877.28,27242666.590000004,14766071.41,316384883.08,463113069.08000004,123038565.64,690926064.0,2,1,251502615.28,567887498.36,0.3640080008329227,0.4579142394026114,0.6702787652833431,0.8219222402355341
2014,DEPARTMENT OF STATE HOSPITALS,0.0,251451904.5,0.0,0.0,231335752.14,369634299.61,20116152.36,502903809.0,2,1,251451904.5,482787656.64,0.5,0.45999999999999996,0.7349999999900577,0.96
2016,"LIFESPAN OF MASSACHUSETTS, INC.",60880303.0,190534551.73000002,30440151.5,30440151.5,92819021.94999999,243273252.65,36096286.32,380330163.0,2,1,251414854.73000002,344233876.68,0.6610436909522741,0.24404854250279379,0.639637021505444,0.9050922334550678
2015,PROHEALTH CARE INC,24946434.0,226378488.29,15137496.15,9808937.85,206259165.15,349477159.21,80211897.56,537795985.0,2,1,251324922.29,457584087.44,0.46732390962346065,0.383526785068877,0.6498322206886687,0.8508506946923377
2014,PORT CITY OPERATING COMPANY LLC,69122797.0,182030364.06,34561398.5,34561398.5,177840036.68,329798834.67,69160014.26,498153212.0,2,1,251153161.06,428993197.74,0.5041685068167341,0.3569986750983752,0.6620429753848501,0.8611671819151093
2022,MISSION HOSPITAL REGIONAL MEDICAL CENTER,36197696.0,214673843.26,18098848.0,18098848.0,316391801.57,461610687.36,123041256.17,690304597.0,1,1,250871539.26,567263340.8299999,0.3634215103742095,0.458336512526513,0.6687057993907579,0.8217580229007224
2023,ARDENT HEALTH INC,72597655.0,178192362.94,48186468.95,24411186.05,398940666.52,551394707.39,155143592.54,804874277.0,3,2,250790017.94,649730684.46,0.31158905820020383,0.49565587809187744,0.685069361944586,0.8072449362920814
2020,CHA HEALTH SYSTEMS,152501095.0,97963763.04,76250547.5,76250547.5,102303384.45,270559275.37,39784649.51,392552892.0,1,1,250464858.04000002,352768242.49,0.6380410465553265,0.2606104464771081,0.6892301162055889,0.8986514930324345
2014,ARDENT HEALTH INC,45470265.0,204967287.87,30161886.34,15308378.66,238847961.69,385682668.77,92885318.44,582170833.0,3,2,250437552.87,489285514.56,0.43017880435449435,0.4102712608585803,0.662490538700691,0.8404500652130746
2019,THOMAS JEFFERSON UNIVERSITY,48145482.0,202063362.76,26990357.21,21155124.79,154254968.81,301498929.82,59988043.43,464451857.0,3,1,250208844.76,404463813.57,0.53871857973861,0.3321226225821722,0.6491500147452312,0.8708412023207822
2021,"COMMONWEALTH HEALTH CORPORATION, INC.",83052466.0,167083330.56,59307765.97,23744700.029999997,204597587.83,358782769.14,79565728.61,534299113.0,6,1,250135796.56,454733384.39,0.46815686283948593,0.3829270587428432,0.6715017120756478,0.851083921582329
2021,STATE OF CONNECTICUT,97333484.0,152797709.38,48666742.0,48666742.0,261053164.45,418092017.61,22700275.17,533884633.0,1,1,250131193.38,511184357.83,0.4685116931994557,0.4889692422557515,0.7831130393483343,0.9574809354552072
2022,WELLMONT HEALTH SYSTEM,57204425.0,192782213.25,34449242.14,22755182.86,427934061.18,576867597.22,166418801.57,844339501.0,6,2,249986638.25,677920699.4300001,0.2960736030399222,0.5068270058112561,0.6832175878740512,0.8029006088511783
2021,YAKIMA VALLEY MEMORIAL HOSPITAL ASSOCIATION,70990293.0,178763271.73,35495146.5,35495146.5,214216190.83,365778710.03,83306296.44,547276052.0,1,1,249753564.73,463969755.56,0.456357561814161,0.39142255548576427,0.6683623533192714,0.8477801172999253
2015,"LIFESPAN OF MASSACHUSETTS, INC.",59681560.0,190059358.3,29840780.0,29840780.0,84568283.06,233862100.12,32887665.64,367196867.0,2,1,249740918.3,334309201.36,0.6801281294701242,0.2303077467706172,0.6368847916123423,0.9104358762407415
2018,"OUR LADY OF LOURDES HEALTH CARE SERVICES, INC",62213231.0,187511254.97,31106615.5,31106615.5,130592566.82,280383680.3,50785998.20999999,431103051.0,2,1,249724485.97,380317052.78999996,0.5792686583653985,0.3029265659732016,0.6503866758762512,0.8821952243386001
2023,ST. JUDE HOSPITAL INC,42346716.0,207280171.17,21173358.0,21173358.0,309928749.72,455692880.86,120527847.11,680083484.0,1,1,249626887.17,559555636.89,0.36705330013572274,0.4557216239058086,0.6700543265361816,0.8227749240415313
2019,"ST. JOSEPH'S HEALTH, INC.",74971757.0,174601629.09,37485878.5,37485878.5,205272827.22,357532540.97,79828321.69,534674535.0,1,1,249573386.09,454846213.31,0.4667762718304884,0.3839210842910257,0.6686919192252162,0.8506973561215142
2016,"ST. VINCENT'S HEALTH SYSTEM, INC.",25631277.0,223821042.04,14666216.7,10965060.3,225618703.17,367943734.03999996,87740606.78999999,562811629.0,2,1,249452319.04,475071022.21,0.4432252394699541,0.4008778275795008,0.6537600061565181,0.8441030670494549
2017,WELLMONT HEALTH SYSTEM,41741361.0,207571463.23,25516491.66,16224869.34,321081520.88,466551846.41,124865035.89,695259381.0,6,2,249312824.23,570394345.11,0.35858965882835026,0.46181544565164234,0.671047179167799,0.8204051044799926
2017,NORMAN REGIONAL HOSPITAL AUTHORITY,53338827.0,195846177.58,35454318.31,17884508.69,156703236.07,304422753.99,13626368.35,419514609.0,1,1,249185004.58,405888240.65,0.5939840931260633,0.37353463433260314,0.7256547148993326,0.9675187274586663
2020,CEDARS-SINAI HEALTH SYSTEM,63565228.0,185447031.79,31782614.0,31782614.0,256039723.59,405709512.07,99571003.62,604622987.0,1,1,249012259.79,505051983.38,0.41184715954241413,0.4234700451274771,0.6710123842347396,0.8353172046698912
2022,WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER,85853524.0,163139043.38,55478547.22,30374976.78,397286836.76,551403453.62,134345458.85999998,780624863.0,4,1,248992567.38,646279404.14,0.31896571475202934,0.5089343878097821,0.7063616338082227,0.8279001025618115
2021,DIOCESASAN HEALTH MINISTRIES,0.0,248833327.18,0.0,0.0,201469480.43,338327810.38,78349242.39,528652050.0,3,1,248833327.18,450302807.61,0.4706939605738784,0.3811003483860509,0.6399820267035756,0.8517943089599294
2019,FREEMAN-OAK HILL HEALTH SYSTEM,38801441.0,210004396.39000002,25003648.580000002,13797792.42,218241668.60000002,362845167.37,84871760.01,551919266.0,2,1,248805837.39000002,467047505.99,0.4508011455972621,0.39542317517142084,0.6574243548330854,0.8462243207686829
2018,MEDICORP HEALTH SYSTEM,17659128.0,230900081.93,8898434.59,8760693.41,190327415.09,330566806.15000004,74016216.98,512902842.0,2,1,248559209.93,438886625.02,0.484612658726504,0.37107888571613723,0.6445018024485816,0.8556915444426412
2020,"TENET FLORIDA, INC.",23039209.0,225346606.53,13183035.39,9856173.61,254979310.66,396199351.0,99158620.81,602523747.0,2,1,248385815.53,503365126.19,0.41224236682243165,0.4231854958905047,0.6575663664257203,0.8354278627129363
2022,ALLEGHENY HEALTH NETWORK,53139220.0,195097644.20999998,29789846.73,23349373.27,384112501.05,531270620.37,149377083.74,781726449.0,3,1,248236864.20999998,632349365.26,0.31754952711085765,0.49136434048171757,0.6796119295306075,0.8089138675925752
2014,CENTRAL FLORIDA HEALTH INC,13366677.0,234751748.63,7648412.58,5718264.42,101507621.3,240646090.79000002,39475186.07,389101233.0,2,1,248118425.63,349626046.93,0.6376706229301514,0.26087715147384277,0.6184665335923004,0.8985477744039942
2017,"COMMONWEALTH HEALTH CORPORATION, INC.",58533481.0,189562548.41,41798758.78,16734722.22,135689881.91,283849394.29,15091753.680000002,398877665.0,6,1,248096029.41,383785911.32,0.6219852631006552,0.3401791923095017,0.7116201763014232,0.9621644554101568
2018,NEBRASKA METHODIST HEALTH SYSTEM INC,23900131.0,224087481.18,13369733.28,10530397.72,215063159.15,356236372.03999996,80259249.67,543310021.0,2,1,247987612.18,463050771.33000004,0.4564385021346772,0.39583874921754847,0.6556778970951467,0.8522772513522258
2017,"ROYAL BLUE HEALTH, LLC",59236804.0,188667971.19,42070403.11,17166400.89,104900270.98,253095258.13,40794549.83,393599596.0,2,2,247904775.19,352805046.17,0.6298400143429009,0.2665151896649813,0.6430272304700231,0.8963552040078822
2022,FREEMAN-OAK HILL HEALTH SYSTEM,67732513.0,180056590.26999998,43646831.38,24085681.62,268323780.05,418154289.45,104348136.67999999,620461020.0,2,1,247789103.26999998,516112883.32,0.3993628854718383,0.43245872246736794,0.67394127265239,0.8318216079392062
2017,"TENET FLORIDA, INC.",22438510.0,225284630.75,12839315.42,9599194.58,192772633.14,333508062.56,74967135.11,515462909.0,2,1,247723140.75,440495773.89,0.4805838333364933,0.3739796399977248,0.6470069072612943,0.8545634733342181
2017,"BENEFIS HEALTH SYSTEM, INC.",73216248.0,174407479.22,45006027.65,28210220.35,124679813.6,275516113.17,48486594.18,420790135.0,1,1,247623727.22,372303540.82,0.5884732236415191,0.29629927897430386,0.6547589647509203,0.884772502615823
2019,SINAI HEALTH SYSTEM,212431276.0,35011360.34,110081887.23,102349388.77,30337694.39,208917399.58,11797992.27,289578323.0,3,1,247442636.34,277780330.73,0.8544929529825339,0.10476507383461849,0.721453862345905,0.9592580268171524
2015,EMANATE HEALTH,114063377.0,133372601.63,57031688.5,57031688.5,175408519.95000002,334310983.6,68214424.42,491058923.0,2,1,247435978.63,422844498.58000004,0.5038824610259653,0.3572046280686361,0.6807960673183817,0.8610870890946015
2016,"ROYAL BLUE HEALTH, LLC",60503431.0,186919160.48999998,42915533.379999995,17587897.62,100307554.92,248490666.44,39008493.59,386738640.0,2,2,247422591.48999998,347730146.40999997,0.6397669275818935,0.25936781212241944,0.642528676317422,0.8991347397043129
2023,"BON SECOURS ST. FRANCIS HEALTH SYSTEM, INC.",42543603.0,204612826.03,29580567.17,12963035.83,379295787.58,523740544.15,147503917.39,773956134.0,1,1,247156429.03,626452216.61,0.31934165022070876,0.49007401184315696,0.6767057216061808,0.8094156620638657
2022,YAKIMA VALLEY MEMORIAL HOSPITAL ASSOCIATION,75850924.0,170762407.5,37925462.0,37925462.0,198529328.52,349336845.65,77205849.98,522348510.0,1,1,246613331.5,445142660.02,0.4721241216903251,0.38007063238296596,0.6687811661413564,0.852194754073291
2016,SINAI HEALTH SYSTEM,161849088.0,84758241.69,83870197.4,77978890.6,159174767.01,327178615.94,61901298.300000004,467683395.0,3,1,246607329.69,405782096.7,0.5272954574108837,0.3403472706359395,0.6995728722419149,0.8676427280468232
2016,BON SECOURS HAMPTON ROADS HEALTH SYSTEM INC,36532029.0,210033483.51,18408489.41,18123539.59,189366852.59,332284290.27,73642664.9,509575030.0,3,1,246565512.51,435932365.1,0.48386498159064034,0.3716172132492442,0.652081186690015,0.8554821948398845
2020,"COMMONWEALTH HEALTH CORPORATION, INC.",82119370.0,164284267.42,58641442.120000005,23477927.880000003,184052713.38,335998587.97,71576055.2,502032406.0,6,1,246403637.42,430456350.79999995,0.4908122154568643,0.3666152048758382,0.6692766920109935,0.8574274203327025
2016,"BLESSING CORPORATE SERVICES, INC.",27982751.0,218214544.10000002,14500661.57,13482089.43,76534585.84,217539648.34,29763450.06,352495331.0,2,1,246197295.10000002,322731880.94000006,0.6984412939642597,0.21712226832303774,0.6171419284415998,0.9155635622872975
2014,MARSHFIELD CLINIC HEALTH SYSTEM INC,44743316.0,201122221.52999997,27150244.150000002,17593071.849999998,174170529.23,318345238.08,65455704.24,485491771.0,3,1,245865537.52999997,420036066.76,0.506425756761179,0.35875073406753993,0.6557170627718013,0.8651764908287188
2021,THE EAST ALABAMA HEALTH CARE AUTHORITY,18193669.0,227601616.43,13214061.79,4979607.21,585076352.96,723902493.75,50876204.61,881747843.0,1,1,245795285.43,830871638.3900001,0.27875915703260756,0.663541575525011,0.820985840222804,0.9423007325576186
2022,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,209054154.0,36450179.77,134505442.68,74548711.32,242782638.45,419620852.82,21111533.78,509398506.0,1,1,245504333.77,488286972.22,0.48194945779837056,0.4766064988223581,0.8237575255471989,0.9585559566207288
2015,TRUMAN MEDICAL CENTER INCORPORATED,143265944.0,102223221.14,92320574.31,50945369.69,157460079.49,321132309.12,61234475.37,464183720.0,2,1,245489165.14,402949244.63,0.5288620745682334,0.3392193062910522,0.6918215682359562,0.8680813808592857
