fiscal_year,chain_name,medicaid_total,medicare_total,federal_medicaid_total,state_medicaid_total,private_total,private_carrier_administered_total,uninsured_other_total,total_revenue,facility_count,state_count,public_total,comprehensive_total,public_dependency,private_dependency,private_carrier_administered_dependency,comprehensive_dependency
2023,Mercy,1723799822.0,5351119077.3,1083963018.79,639836803.21,8578889204.72,12814854563.72,3258365052.98,18912173157.0,83,13,7074918899.3,15653808104.02,0.37409338633732564,0.4536173148110522,0.6775982039365377,0.8277107011483779
2017,CommonSpirit Health,1576243802.0,5202719674.28,849581164.72,726662637.28,5357848528.78,9401527201.13,2079050687.94,14215862693.0,69,16,6778963476.28,12136812005.06,0.47685909906952134,0.3768922537088267,0.6613406026888107,0.853751352778348
2018,CommonSpirit Health,1562310024.0,5199791397.92,842379818.37,719930205.63,5569459252.98,9601077039.86,2144074470.1,14475635145.0,72,16,6762101421.92,12331560674.9,0.4671367683825386,0.3847471421593363,0.6632577392071317,0.8518839105418748
2022,CommonSpirit Health,1887784810.0,4833844799.2300005,1016252769.1800001,871532040.82,7276568453.84,11351021700.89,2780817788.93,16779015852.0,73,16,6721629609.2300005,13998198063.07,0.4005973692687587,0.433670753876346,0.6765010415993497,0.8342681231451047
2020,CommonSpirit Health,1697684458.0,4958798523.93,920953362.98,776731095.02,6588791290.61,10589393822.31,2513461930.46,15758736203.0,73,16,6656482981.93,13245274272.54,0.4223995437313559,0.41810404119561867,0.6719697370334868,0.8405035849269746
2016,CommonSpirit Health,1430781664.0,5090406707.19,776493283.03,654288380.97,5132733407.67,9005543344.61,1991698659.1399999,13645620438.0,71,16,6521188371.19,11653921778.86,0.4778960693520354,0.3761451105130028,0.6599585109029984,0.8540411798650382
2018,Mercy,1264476763.0,5244903850.37,788685095.73,475791667.27,5520315022.6,9353369712.58,2098617378.03,14128313014.0,83,14,6509380613.37,12029695635.970001,0.4607330405915934,0.3907271177478741,0.6620301874195155,0.8514601583394676
2021,CommonSpirit Health,2003063250.0,4494138652.74,1072538680.01,930524569.99,6440039771.94,10414113468.47,2452256881.32,15389498556.0,73,16,6497201902.74,12937241674.68,0.4221841198462503,0.4184697603047749,0.676702585894833,0.8406538801510253
2017,Mercy,1216203522.0,5276698851.5,757842663.1999999,458360858.8,5221832876.940001,9036169886.76,1983538379.56,13698273630.0,83,14,6492902373.5,11714735250.44,0.4739942089695284,0.3812037208472671,0.6596575693283183,0.8551979298167955
2014,CommonSpirit Health,1221299881.0,5195002671.9,652953989.3100001,568345891.6899999,5546999603.65,9320225983.94,2150872823.45,14114174980.0,69,16,6416302552.9,11963302156.55,0.45459990130432687,0.3930091281644292,0.6603450784156284,0.847609029468756
